taskName,program,nlDescription
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 false) (lambda (lambda (color_logical $0 $1 red land))))),"look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3."
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 false) (lambda (lambda (color_logical $1 $0 red land))))),"look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3."
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (negate_boolean true)) (lambda (lambda (color_logical $0 $1 red land))))),"look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3."
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (negate_boolean true)) (lambda (lambda (color_logical $1 $0 red land))))),"look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3."
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (is_tile (grid_to_block $0))) (lambda (lambda (color_logical $0 $1 red land))))),"look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3."
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (is_tile (grid_to_block $0))) (lambda (lambda (color_logical $1 $0 red land))))),"look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3."
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (is_tile (remove_black_b (grid_to_block $0)))) (lambda (lambda (color_logical $0 $1 red land))))),"look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3."
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (is_tile (remove_black_b (grid_to_block $0)))) (lambda (lambda (color_logical $1 $0 red land))))),"look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3."
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (is_tile (grow (grid_to_block $0) 1))) (lambda (lambda (color_logical $0 $1 red land))))),"look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3."
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (is_tile (grow (grid_to_block $0) 1))) (lambda (lambda (color_logical $1 $0 red land))))),"look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3."
0b148d64.json,(lambda (to_min_grid (remove_black_b (remove_color (grid_to_block $0) (nth_primary_color (grid_to_block $0) 1))) true)),make it the area that is a different color.
0b148d64.json,(lambda (to_min_grid (remove_color (remove_black_b (grid_to_block $0)) (nth_primary_color (grid_to_block $0) 1)) true)),make it the area that is a different color.
0b148d64.json,(lambda (to_min_grid (remove_black_b (remove_color (grid_to_block $0) (nth_primary_color (grid_to_block $0) 1))) false)),make it the area that is a different color.
0b148d64.json,(lambda (to_min_grid (remove_color (remove_black_b (grid_to_block $0)) (nth_primary_color (grid_to_block $0) 1)) false)),make it the area that is a different color.
0b148d64.json,(lambda (to_min_grid (remove_color (remove_black_b (remove_black_b (grid_to_block $0))) (nth_primary_color (grid_to_block $0) 1)) true)),make it the area that is a different color.
0b148d64.json,(lambda (to_min_grid (remove_color (remove_black_b (remove_black_b (grid_to_block $0))) (nth_primary_color (grid_to_block $0) 1)) false)),make it the area that is a different color.
0b148d64.json,(lambda (to_min_grid (remove_color (remove_black_b (grid_to_block $0)) (nth_primary_color (reflect (grid_to_block $0) true) 1)) true)),make it the area that is a different color.
0b148d64.json,(lambda (to_min_grid (remove_color (reflect (reflect (remove_black_b (grid_to_block $0)) true) true) (nth_primary_color (grid_to_block $0) 1)) true)),make it the area that is a different color.
0b148d64.json,(lambda (to_min_grid (remove_color (reflect (reflect (remove_black_b (grid_to_block $0)) true) true) (nth_primary_color (grid_to_block $0) 1)) false)),make it the area that is a different color.
0b148d64.json,(lambda (to_min_grid (remove_color (reflect (reflect (remove_black_b (grid_to_block $0)) false) false) (nth_primary_color (grid_to_block $0) 1)) true)),make it the area that is a different color.
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) false false) false false)),make it the area that is a different color.
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) true false) false false)),make it the area that is a different color.
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) false false) false true)),make it the area that is a different color.
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) false false) true false)),make it the area that is a different color.
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) false true) false false)),make it the area that is a different color.
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) false false) true true)),make it the area that is a different color.
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) false true) false true)),make it the area that is a different color.
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) false true) true false)),make it the area that is a different color.
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) true false) false true)),make it the area that is a different color.
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) true false) true false)),make it the area that is a different color.
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) false)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) true)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) (negate_boolean false))),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) (negate_boolean true))),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (to_min_grid (remove_color (grid_to_block $0) black) false)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (to_min_grid (remove_color (grid_to_block $0) black) true)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (to_min_grid (box_block (remove_black_b (grid_to_block $0))) false)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (to_min_grid (box_block (remove_black_b (grid_to_block $0))) true)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (to_min_grid (remove_black_b (box_block (grid_to_block $0))) false)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (to_min_grid (remove_black_b (box_block (grid_to_block $0))) true)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (to_min_grid (remove_black_b (remove_black_b (grid_to_block $0))) true)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (to_min_grid (remove_black_b (remove_black_b (grid_to_block $0))) false)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (blocks_to_min_grid (find_same_color_blocks $0 true true) true true)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (blocks_to_min_grid (find_same_color_blocks $0 false true) true true)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (blocks_to_min_grid (find_same_color_blocks $0 true false) true true)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (blocks_to_min_grid (find_same_color_blocks $0 true true) false true)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (blocks_to_min_grid (find_same_color_blocks $0 true true) true false)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (blocks_to_min_grid (find_same_color_blocks $0 true false) false true)),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) (is_tile (grid_to_block $0)))),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) (touches_any_boundary (grid_to_block $0)))),"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
