,program,DSL,generation,frontierEntryRank,isHandWritten,nl_0,nl_1,nl_2,nl_3,nl_4,nl_5
67e8384a.json,(lambda (to_min_grid (reflect (remove_black_b (move (reflect (remove_black_b (move (reflect (grid_to_block $0) true) 3 south true)) false) 3 east true)) true) true)),rich,1,0,False,copy paste the pattern in each corner the pattern on the bottom s flip s parallel to the top,copy paste the pattern in each corner the pattern on the bottom s flip s parallel to the top,you have to copy and paste the original grid and rotate it 90 degree s clockwise until you complete the grid,,,
67e8384a.json,(lambda (to_min_grid (reflect (remove_black_b (move (reflect (remove_black_b (move (reflect (grid_to_block $0) false) 3 east true)) true) 3 south true)) false) true)),rich,1,1,False,copy paste the pattern in each corner the pattern on the bottom s flip s parallel to the top,copy paste the pattern in each corner the pattern on the bottom s flip s parallel to the top,you have to copy and paste the original grid and rotate it 90 degree s clockwise until you complete the grid,,,
67e8384a.json,(lambda (to_min_grid (reflect (remove_black_b (move (reflect (reflect (remove_black_b (move (reflect (grid_to_block $0) false) 3 east true)) false) true) 3 south true)) false) true)),rich,1,2,False,copy paste the pattern in each corner the pattern on the bottom s flip s parallel to the top,copy paste the pattern in each corner the pattern on the bottom s flip s parallel to the top,you have to copy and paste the original grid and rotate it 90 degree s clockwise until you complete the grid,,,
67e8384a.json,(lambda (to_min_grid (reflect (remove_black_b (move (reflect (reflect (remove_black_b (move (reflect (grid_to_block $0) false) 3 east true)) true) false) 3 south true)) false) true)),rich,1,3,False,copy paste the pattern in each corner the pattern on the bottom s flip s parallel to the top,copy paste the pattern in each corner the pattern on the bottom s flip s parallel to the top,you have to copy and paste the original grid and rotate it 90 degree s clockwise until you complete the grid,,,
67e8384a.json,(lambda (#(lambda (to_min_grid (reflect (remove_black_b (move (reflect (remove_black_b (move (reflect (grid_to_block $0) false) 3 east true)) true) 3 south true)) false) true)) $0)),rich,2,0,False,copy paste the pattern in each corner the pattern on the bottom s flip s parallel to the top,copy paste the pattern in each corner the pattern on the bottom s flip s parallel to the top,you have to copy and paste the original grid and rotate it 90 degree s clockwise until you complete the grid,,,
63613498.json,(lambda (#(lambda (to_min_grid $0 true)) (replace_color (grid_to_block $0) (nth_primary_color (wrap_block (remove_black_b (move (grid_to_block $0) 3 east true)) invisible true) 3) grey))),trimmed,generation,entry,False,copy the input grid find any shape s outside of the border which are exactly the same shape and orientation as the shape inside of the grey border turn that shape grey do not change the colored shape inside the grey border or any shape s outside of the grey border which do not have the same orientation and shape as the one inside the border,find the shape closest to a corner that isn t the top left corner color that shape the same color as the box in the top left,from the right column to left get the first pattern if there is no same color pattern then change it s color to grey otherwise pas s it and keep check on form right to left column,,,
63613498.json,(lambda (#(lambda (lambda (lambda (#(lambda (to_min_grid $0 true)) (replace_color (grid_to_block $2) $0 $1))))) $0 grey (nth_primary_color (#(lambda (wrap_block $0 invisible true)) (#(lambda (remove_black_b (move (grid_to_block $0) 3 east true))) $0)) 3))),trimmed,generation,entry,False,copy the input grid find any shape s outside of the border which are exactly the same shape and orientation as the shape inside of the grey border turn that shape grey do not change the colored shape inside the grey border or any shape s outside of the grey border which do not have the same orientation and shape as the one inside the border,find the shape closest to a corner that isn t the top left corner color that shape the same color as the box in the top left,from the right column to left get the first pattern if there is no same color pattern then change it s color to grey otherwise pas s it and keep check on form right to left column,,,
63613498.json,(lambda (#(lambda (lambda (lambda (#(lambda (to_min_grid $0 true)) (replace_color (grid_to_block $2) $0 $1))))) $0 grey (nth_primary_color (#(lambda (wrap_block $0 invisible true)) (remove_black_b (#(lambda (remove_black_b (move (grid_to_block $0) 3 east true))) $0))) 3))),trimmed,generation,entry,False,copy the input grid find any shape s outside of the border which are exactly the same shape and orientation as the shape inside of the grey border turn that shape grey do not change the colored shape inside the grey border or any shape s outside of the grey border which do not have the same orientation and shape as the one inside the border,find the shape closest to a corner that isn t the top left corner color that shape the same color as the box in the top left,from the right column to left get the first pattern if there is no same color pattern then change it s color to grey otherwise pas s it and keep check on form right to left column,,,
63613498.json,(lambda (#(lambda (lambda (lambda (#(lambda (to_min_grid $0 true)) (replace_color (grid_to_block $2) $0 $1))))) $0 grey (nth_primary_color (#(lambda (wrap_block $0 invisible true)) (map_block_tiles (#(lambda (remove_black_b (move (grid_to_block $0) 3 east true))) $0) (lambda $0))) 3))),trimmed,generation,entry,False,copy the input grid find any shape s outside of the border which are exactly the same shape and orientation as the shape inside of the grey border turn that shape grey do not change the colored shape inside the grey border or any shape s outside of the grey border which do not have the same orientation and shape as the one inside the border,find the shape closest to a corner that isn t the top left corner color that shape the same color as the box in the top left,from the right column to left get the first pattern if there is no same color pattern then change it s color to grey otherwise pas s it and keep check on form right to left column,,,
63613498.json,(lambda (#(lambda (lambda (lambda (#(lambda (to_min_grid $0 true)) (replace_color (grid_to_block $2) $0 $1))))) $0 grey (nth_primary_color (map_block_tiles (#(lambda (wrap_block $0 invisible true)) (#(lambda (remove_black_b (move (grid_to_block $0) 3 east true))) $0)) (lambda $0)) 3))),trimmed,generation,entry,False,copy the input grid find any shape s outside of the border which are exactly the same shape and orientation as the shape inside of the grey border turn that shape grey do not change the colored shape inside the grey border or any shape s outside of the grey border which do not have the same orientation and shape as the one inside the border,find the shape closest to a corner that isn t the top left corner color that shape the same color as the box in the top left,from the right column to left get the first pattern if there is no same color pattern then change it s color to grey otherwise pas s it and keep check on form right to left column,,,
67a3c6ac.json,(lambda (to_min_grid (reflect (grid_to_block $0) false) false)),rich,0,0,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_min_grid (reflect (grid_to_block $0) false) true)),rich,0,1,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_original_grid_overlay (reflect (grid_to_block $0) false) false)),rich,0,2,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_original_grid_overlay (reflect (grid_to_block $0) false) true)),rich,0,3,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_min_grid (reflect (grid_to_block $0) (negate_boolean true)) false)),rich,0,4,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_min_grid (reflect (grid_to_block $0) (negate_boolean true)) true)),rich,0,5,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_min_grid (reflect (grid_to_block $0) false) (negate_boolean false))),rich,0,6,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_min_grid (reflect (grid_to_block $0) false) (negate_boolean true))),rich,0,7,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_original_grid_overlay (reflect (grid_to_block $0) (negate_boolean true)) false)),rich,0,8,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_original_grid_overlay (reflect (grid_to_block $0) (negate_boolean true)) true)),rich,0,9,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_min_grid (reflect (remove_black_b (grid_to_block $0)) false) true)),rich,1,4,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_min_grid (remove_black_b (reflect (grid_to_block $0) false)) true)),rich,1,5,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_min_grid (reflect (remove_black_b (grid_to_block $0)) false) false)),rich,1,6,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_min_grid (remove_black_b (reflect (grid_to_block $0) false)) false)),rich,1,7,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_original_grid_overlay (reflect (remove_black_b (grid_to_block $0)) false) true)),rich,1,8,False,create a left right mirror image of the input,create a right to left mirror image,,,,
67a3c6ac.json,(lambda (to_original_grid_overlay (remove_black_b (reflect (grid_to_block $0) false)) true)),rich,1,9,False,create a left right mirror image of the input,create a right to left mirror image,,,,
