,program,phrase_kind,natural_language
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 false) (lambda (lambda (color_logical $0 $1 red land))))),grid_size,should be 3x3
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 false) (lambda (lambda (color_logical $0 $1 red land))))),input,a grid with a gray line down the center
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 false) (lambda (lambda (color_logical $0 $1 red land))))),output," look at both the left and right parts of the input grid.||You will notice that the left and right parts are 3x3.||For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3."
0b148d64.json,(lambda (to_min_grid (remove_black_b (remove_color (grid_to_block $0) (nth_primary_color (grid_to_block $0) 1))) true)),grid_size,becomes the size of the pattern that is a different color.|| become size of the different color area.
0b148d64.json,(lambda (to_min_grid (remove_black_b (remove_color (grid_to_block $0) (nth_primary_color (grid_to_block $0) 1))) true)),input,"a rectangular pattern in each corner, one a different color than the others.|| four colored area.||One different from others."
0b148d64.json,(lambda (to_min_grid (remove_black_b (remove_color (grid_to_block $0) (nth_primary_color (grid_to_block $0) 1))) true)),output,copy the pattern that is a different color|| make it the area that is a different color.
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) false)),grid_size,it becomes the size of the colored image.
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) false)),input,a colored image on a black grid.
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) false)),output,"you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid.||No color change."
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) false) true)),grid_size,same size as the significant pattern.|| is the size of the height and width of the biggest colored shape.||is the size of the small dense part|| is the size of the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) false) true)),input,large areas with one significant colored pattern different than its background.|| a grid with many shapes in it including one which is the biggest and is a different color||a dense color block inside the big back ground|| a dense color block inside the big back ground
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) false) true)),output,copy the significant pattern.|| copy only the biggest shape into the output grid||copy the small dense part||copy the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_num_tiles $0)) false) false)),grid_size,same size as the significant pattern.|| is the size of the height and width of the biggest colored shape.||is the size of the small dense part|| is the size of the small dense part
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_num_tiles $0)) false) false)),input,large areas with one significant colored pattern different than its background.|| a grid with many shapes in it including one which is the biggest and is a different color||a dense color block inside the big back ground|| a dense color block inside the big back ground
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_num_tiles $0)) false) false)),output,copy the significant pattern.|| copy only the biggest shape into the output grid||copy the small dense part||copy the small dense part
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false) false))) true true)),grid_size,should be the same as the input
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false) false))) true true)),input,a box of color with colored shapes up from each side.
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false) false))) true true)),output,fill in the area above the four square base until you get to the top of the colored area
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true false)),grid_size,stays the same size as the input.
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true false)),input,single pixels of different colors in two horizontal lines along the left and right sides of the grid.
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true false)),output,"copy the input.||If two blocks across from each other are the same color, fill in the rest of that horizontal row with that color.||Don't do anything with the blocks across from each other that are different colors"
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height $0)) true) false)),grid_size,should be the one colored object with the smallest area.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height $0)) true) false)),input,different colored objects in the grid.
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height $0)) true) false)),output,change the grid size with the colored object with the smallest area and fill the same color.
25ff71a9.json,(lambda (to_original_grid_overlay (move (grid_to_block $0) 1 south false) false)),grid_size,same as input size
25ff71a9.json,(lambda (to_original_grid_overlay (move (grid_to_block $0) 1 south false) false)),input,3 by 3 grid blue color grid on black background
25ff71a9.json,(lambda (to_original_grid_overlay (move (grid_to_block $0) 1 south false) false)),output,move all the blue color move down  by one grid
28bf18c6.json,(lambda (to_min_grid (duplicate (box_block (remove_black_b (grid_to_block $0))) east 1) false)),grid_size,3 up and 6 to the sides.||3 up and 6 to the sides
28bf18c6.json,(lambda (to_min_grid (duplicate (box_block (remove_black_b (grid_to_block $0))) east 1) false)),input,a figure on a big grid.||a figure on a big grid
